,description,full_name,id,language,name,open_issues_count,size,stargazers_count,test_coverage
114,DEPRECATED,81813780/AVLoadingIndicatorView,44883053,Java,AVLoadingIndicatorView,67,14399,8669,
115,A powerful library that manage Fragment for Android!,YoKeyword/Fragmentation,52344952,Java,Fragmentation,98,29306,8663,
116,Android runtime permissions powered by RxJava2,tbruyelle/RxPermissions,43370610,Java,RxPermissions,77,571,8601,
117,,aosp-mirror/platform_frameworks_base,65885,Java,platform_frameworks_base,0,2903744,8579,
118,A lightweight distributed task scheduling framework.（分布式任务调度平台XXL-JOB）,xuxueli/xxl-job,47023603,Java,xxl-job,81,30448,8548,
119,Multitask、MultiThread(MultiConnection)、Breakpoint-resume、High-concurrency、Simple to use、Single/NotSingle-process,lingochamp/FileDownloader,48427914,Java,FileDownloader,121,40679,8534,
120,This library provides a simple way to add a draggable sliding up panel (popularized by Google Music and Google Maps) to your Android application. Brought to you by Umano.,umano/AndroidSlidingUpPanel,10410764,Java,AndroidSlidingUpPanel,288,2861,8521,
121,Android广告图片轮播控件，支持无限循环和多种主题，可以灵活设置轮播样式、动画、轮播和切换时间、位置、图片加载框架等！,youth5201314/banner,56829582,Java,banner,220,3068,8434,
122,A simple expressive web framework for java. News: Spark now has a kotlin DSL https://github.com/perwendel/spark-kotlin,perwendel/spark,1705960,Java,spark,170,2414,8336,
123,A tool for reverse engineering Android apk files,iBotPeaches/Apktool,3766706,Java,Apktool,182,133622,8300,
124,Custom fonts in Android the easy way...,chrisjenx/Calligraphy,15328210,Java,Calligraphy,139,1523,8288,
125,"⚔️ A common architecture for Android applications developing based on MVP, integrates many open source projects, to make your developing quicker and easier (一个整合了大量主流开源项目高度可配置化的 Android MVP 快速集成框架). ",JessYanCoding/MVPArms,65073648,Java,MVPArms,14,5878,8282,
126,《史上最简单的Spring Cloud教程源码》,forezp/SpringCloudLearning,87624870,Java,SpringCloudLearning,34,552,8267,
127,(Deprecated) A custom view component that mimics the new Material Design Bottom Navigation pattern.,roughike/BottomBar,53991171,Java,BottomBar,294,40798,8251,
128,Apache Druid (Incubating) - Column oriented distributed data store ideal for powering interactive applications,apache/incubator-druid,6358188,Java,incubator-druid,1359,169290,8210,
129,"Guice (pronounced 'juice') is a lightweight dependency injection framework for Java 6 and above, brought to you by Google.",google/guice,20275545,Java,guice,320,71778,8182,
130,A blazingly small and sane redis java client,xetorthio/jedis,715605,Java,jedis,157,7799,8169,
131,提高 Android UI 开发效率的 UI 库,Tencent/QMUI_Android,88970564,Java,QMUI_Android,137,15612,8159,
132,A scalable web crawler framework for Java.,code4craft/webmagic,9623064,Java,webmagic,281,17054,8090,
133,Mirror of Apache RocketMQ,apache/rocketmq,75164823,Java,rocketmq,256,7348,8068,
134,A Material Design ViewPager easy to use library,florent37/MaterialViewPager,34533286,Java,MaterialViewPager,186,19557,7980,
135,Distributed database middleware,apache/incubator-shardingsphere,49876476,Java,incubator-shardingsphere,56,48063,7944,57.48178
136,"Some Android learning materials, hoping to help you learn Android development.",Freelander/Android_Data,33390523,Java,Android_Data,2,153,7934,
137,Android开源弹幕引擎·烈焰弹幕使 ～,bilibili/DanmakuFlameMaster,12035487,Java,DanmakuFlameMaster,222,3580,7926,
138,Very spicy additions to the Java programming language.,rzwitserloot/lombok,221862,Java,lombok,574,74721,7911,
139,A collection of source code generators for Java.,google/auto,10230369,Java,auto,116,2935,7873,
140,Android application powering the mirror in my house,HannahMitt/HomeMirror,41233920,Java,HomeMirror,36,6204,7869,
141,AWS Service registry for resilient mid-tier load balancing and failover.,Netflix/eureka,5198041,Java,eureka,22,11726,7851,
142,An Android transformation library providing a variety of image transformations for Glide.,wasabeef/glide-transformations,29012058,Java,glide-transformations,29,26386,7834,
143,The Clojure programming language,clojure/clojure,747512,Java,clojure,7,15145,7811,
144,"Tink is a multi-language, cross-platform, open source library that provides cryptographic APIs that are secure, easy to use correctly, and hard(er) to misuse.",google/tink,20570214,Java,tink,45,14715,7776,
145,Demos the new Android Design library.,chrisbanes/cheesesquare,36470590,Java,cheesesquare,20,1326,7725,
146,🎸 一款小而美的博客系统，专为程序员设计。https://hacpai.com/tag/solo,b3log/solo,3978001,Java,solo,4,94384,7687,
147,"Zuul is a gateway service that provides dynamic routing, monitoring, resiliency, security, and more.",Netflix/zuul,8759133,Java,zuul,145,3040,7619,
148,Simplify Android M system permissions,googlesamples/easypermissions,48446680,Java,easypermissions,7,585,7513,72.39264
149,A programmer-oriented testing framework for Java.,junit-team/junit4,106310,Java,junit4,130,23455,7497,
150,又一个小商城。litemall = Spring Boot后端 + Vue管理员前端 + 微信小程序用户前端 + Vue用户移动端,linlinjava/litemall,126365965,Java,litemall,25,22903,7496,
151,Views and Drawable for displaying animated GIFs on Android,koral--/android-gif-drawable,7905539,Java,android-gif-drawable,34,5742,7408,4.48223
152,A util for setting status bar style on Android App.,laobie/StatusBarUtil,51727325,Java,StatusBarUtil,87,9367,7381,
153,Reactive Programming for Android,google/agera,48175620,Java,agera,4,968,7342,97.66053
154,Modular and customizable Material Design UI components for Android,material-components/material-components-android,75643096,Java,material-components-android,56,7327,7338,
155,🔥 A low-cost Android screen adaptation solution (今日头条屏幕适配方案终极版，一个极低成本的 Android 屏幕适配方案).,JessYanCoding/AndroidAutoSize,145098146,Java,AndroidAutoSize,26,2991,7332,
156,Mybatis通用分页插件,pagehelper/Mybatis-PageHelper,20651672,Java,Mybatis-PageHelper,62,4305,7313,
157,A lightweight powerful flow control component enabling reliability and monitoring for microservices. (轻量级的流量控制、熔断降级 Java 库),alibaba/Sentinel,128018428,Java,Sentinel,130,3916,7292,41.84172
158,A Camera component for React Native. Also supports barcode scanning!,react-native-community/react-native-camera,33218414,Java,react-native-camera,134,11372,7283,
159,[DEPRECATED] Action bar implementation which uses the native action bar on Android 4.0+ and a custom implementation on pre-4.0 through a single API and theme.,JakeWharton/ActionBarSherlock,1451060,Java,ActionBarSherlock,90,21244,7258,
160,Admin UI for administration of spring boot applications,codecentric/spring-boot-admin,22254856,Java,spring-boot-admin,18,17782,7251,
161,A damn simple library for building production-ready RESTful web services.,dropwizard/dropwizard,1272129,Java,dropwizard,85,96956,7226,
162,"A simple app to use Xposed without root, unlock the bootloader or modify system image, etc.",android-hacker/VirtualXposed,112717963,Java,VirtualXposed,66,49578,7212,
163,Tools for keeping your cloud operating in top form. Chaos Monkey is a resiliency tool that helps applications tolerate random instance failures.,Netflix/SimianArmy,4931659,Java,SimianArmy,43,15326,7186,
164,A powerful and lightweight plugin framework for Android,didi/VirtualAPK,95750391,Java,VirtualAPK,70,1003,7156,
165,JetBrains theme of Material Theme,ChrisRM/material-theme-jetbrains,42984727,Java,material-theme-jetbrains,11,138466,7152,
